candidate_id,wallet_label,source_coin,execution_asset,action,status,side,score,fills,net_buy_notional,net_closed_pnl_after_fees,current_position,current_position_notional,mark_price,reason,next_step
public_hypertracker_example_eth_wallet_flow_actionability,public_hypertracker_example,ETH,ETH,watch_wallet_long_pressure,wallet_position_follow_candidate,paper_long_wallet_flow,99.07917358,79,6903.68625000,414.57586100,2.79660000,4748.34714000,1697.300000000000,seed wallet has positive realized PnL and an open tradable position,"paper-label ETH paper_long_wallet_flow over 15m/1h/4h with funding, spread/depth, and copycat-risk controls"
public_hypertracker_example_zec_wallet_flow_actionability,public_hypertracker_example,ZEC,ZEC,watch_wallet_long_pressure,wallet_position_follow_candidate,paper_long_wallet_flow,83.40850640,40,49.58980000,443.76364400,1.32000000,585.36720000,442.700000000000,seed wallet has positive realized PnL and an open tradable position,"paper-label ZEC paper_long_wallet_flow over 15m/1h/4h with funding, spread/depth, and copycat-risk controls"
public_hypertracker_example_apt_wallet_flow_actionability,public_hypertracker_example,APT,APT,watch_wallet_long_pressure,wallet_position_follow_candidate,paper_long_wallet_flow,61.93860263,37,1196.41310500,3.29543900,534.63000000,363.70878900,0.680000000000,seed wallet has positive realized PnL and an open tradable position,"paper-label APT paper_long_wallet_flow over 15m/1h/4h with funding, spread/depth, and copycat-risk controls"
public_hypertracker_example_hyna_eth_wallet_flow_actionability,public_hypertracker_example,hyna:ETH,ETH,watch_recent_wallet_sell_flow,wallet_flow_watch,paper_short_wallet_flow,60.85174158,40,-385.04173000,369.33399700,0.00000000,0.00000000,1697.300000000000,seed wallet has positive realized PnL but the tradable flow is still small,keep ETH as wallet-flow context until position/flow size or repeat labels improve
public_hypertracker_example_hyna_btc_wallet_flow_actionability,public_hypertracker_example,hyna:BTC,BTC,watch_recent_wallet_sell_flow,wallet_flow_watch,paper_short_wallet_flow,55.75991615,40,-281.87345000,269.56085400,0.00000000,0.00000000,64034.000000000000,seed wallet has positive realized PnL but the tradable flow is still small,keep BTC as wallet-flow context until position/flow size or repeat labels improve
public_live_bot_example_xrp_wallet_flow_actionability,public_live_bot_example,XRP,XRP,watch_wallet_long_pressure,wallet_flow_watch,paper_long_wallet_flow,50.92138265,201,8.13420000,17.13303300,24.00000000,28.29840000,1.178200000000,seed wallet has positive realized PnL but the tradable flow is still small,keep XRP as wallet-flow context until position/flow size or repeat labels improve
public_live_bot_example_sol_wallet_flow_actionability,public_live_bot_example,SOL,SOL,watch_recent_wallet_sell_flow,wallet_flow_watch,paper_short_wallet_flow,49.83191753,194,-4.68633000,2.54462400,0.00000000,0.00000000,67.495000000000,seed wallet has positive realized PnL but the tradable flow is still small,keep SOL as wallet-flow context until position/flow size or repeat labels improve
public_hypertracker_example_hype_wallet_flow_actionability,public_hypertracker_example,HYPE,HYPE,watch_recent_wallet_sell_flow,wallet_flow_watch,paper_short_wallet_flow,47.93678533,33,-128.54098000,123.16488700,0.00000000,0.00000000,64.840000000000,seed wallet has positive realized PnL but the tradable flow is still small,keep HYPE as wallet-flow context until position/flow size or repeat labels improve
public_hypertracker_example_xyz_cl_wallet_flow_actionability,public_hypertracker_example,xyz:CL,,watch_recent_wallet_sell_flow,wallet_flow_blocked_untradable_asset,paper_short_wallet_flow,47.70812295,324,-708.12295300,688.75679500,0.00000000,0.00000000,,source coin does not map to a current Hyperliquid tradable asset,do not promote this seed-wallet row; keep only as source-quality or negative-control evidence
public_hypertracker_example_ton_wallet_flow_actionability,public_hypertracker_example,TON,TON,watch_recent_wallet_sell_flow,wallet_flow_watch,paper_short_wallet_flow,42.59068309,6,-45.74613999,44.89873900,0.00000000,0.00000000,1.749200000000,seed wallet has positive realized PnL but the tradable flow is still small,keep TON as wallet-flow context until position/flow size or repeat labels improve
