timestamp,market,symbol,index_id,contract_type,price,index_price,price_change_24h,basis,spread,funding_rate,open_interest,volume_24h,oi_volume_ratio,score,status,side,reason,next_step
2026-06-08T12:20:04.918706+00:00,KuCoin Futures,HUSDTM,KHUSDT,perpetual,0.69000000,0.69813000,-7.81081477,0.83483787,0.05000000,-0.08370000,83420416.40000001,12176677.39902056,6.85083571,48.95411436,paper_oi_funding_crowding_watch,watch_long_crowded_short,high OI/volume with material funding,"label KuCoin Futures HUSDTM forward returns, funding PnL, depth, fees, and margin constraints"
2026-06-08T12:20:04.918706+00:00,WhiteBIT Futures,ZEC_PERP,ZEC,perpetual,421.21000000,423.14000000,4.72830273,0.38908660,0.02000000,-0.23743900,60041791.69000000,15032306.71330363,3.99418352,47.24681221,paper_oi_funding_crowding_watch,watch_long_crowded_short,high OI/volume with material funding,"label WhiteBIT Futures ZEC_PERP forward returns, funding PnL, depth, fees, and margin constraints"
2026-06-08T12:20:04.918706+00:00,KuCoin Futures,BEATUSDTM,KBEATUSDT,perpetual,4.41000000,4.43862000,74.31008451,0.64715379,0.14000000,0.06510000,60609341.73000000,41954625.07209478,1.44464029,46.35655784,paper_oi_funding_crowding_watch,watch_short_crowded_long,high OI/volume with material funding,"label KuCoin Futures BEATUSDTM forward returns, funding PnL, depth, fees, and margin constraints"
2026-06-08T12:20:04.918706+00:00,Bitget Futures,LABUSDT_UMCBL,LAB,perpetual,12.88000000,12.86592118,-3.12040542,-0.17588289,0.04000000,0.05680000,64083322.96000000,32916118.55166640,1.94686755,41.85682666,paper_oi_funding_crowding_watch,watch_short_crowded_long,high OI/volume with material funding,"label Bitget Futures LABUSDT_UMCBL forward returns, funding PnL, depth, fees, and margin constraints"
2026-06-08T12:20:04.918706+00:00,Variational Omni,ETH-PERP,ETH,perpetual,1674.09000000,1675.88000000,3.80572222,0.06687525,0.00000000,1.01200000,140048303.97000000,86840766.22020409,1.61270231,39.63086376,paper_oi_funding_crowding_watch,watch_short_crowded_long,high OI/volume with material funding,"label Variational Omni ETH-PERP forward returns, funding PnL, depth, fees, and margin constraints"
2026-06-08T12:20:04.918706+00:00,OrangeX Futures,BEAT-USDT-PERPETUAL,BEAT,perpetual,4.45000000,4.47940000,73.79232241,0.65388850,0.00000000,-0.26030000,67609382.56000000,149509712.86693490,0.45220729,39.35967354,paper_basis_funding_dislocation_watch,watch_basis_funding_reversion,basis and funding are both stretched,"label OrangeX Futures BEAT-USDT-PERPETUAL forward returns, funding PnL, depth, fees, and margin constraints"
2026-06-08T12:20:04.918706+00:00,Bybit (Futures),HUSDT,H,perpetual,0.69000000,0.69849700,-6.63672789,0.59290302,0.01000000,-0.27589700,69980826.56999999,55254780.44546214,1.26651171,38.50938932,paper_oi_funding_crowding_watch,watch_long_crowded_short,high OI/volume with material funding,"label Bybit (Futures) HUSDT forward returns, funding PnL, depth, fees, and margin constraints"
2026-06-08T12:20:04.918706+00:00,Toobit Futures,BEAT-SWAP-USDT,BEAT,perpetual,4.42000000,4.42580786,72.69287776,-0.03821886,0.04000000,-0.24607455,51428774.29000000,118080988.23599315,0.43553814,37.69976238,derivatives_positioning_context,none,positioning context is visible but not actionable yet,"label Toobit Futures BEAT-SWAP-USDT forward returns, funding PnL, depth, fees, and margin constraints"
2026-06-08T12:20:04.918706+00:00,Binance (Futures),BEATUSDT,BEAT,perpetual,4.42000000,4.43317677,72.83309246,0.19157841,0.02000000,0.11985100,65222547.40000000,727574544.86289215,0.08964380,36.58590141,derivatives_positioning_context,none,positioning context is visible but not actionable yet,"label Binance (Futures) BEATUSDT forward returns, funding PnL, depth, fees, and margin constraints"
2026-06-08T12:20:04.918706+00:00,Antarctic ,BTC_USDT,BTC,perpetual,62955.19000000,63001.10000000,1.44391974,-0.00031745,0.01000000,0.04310000,118569733.79000001,89590028.17479777,1.32347021,36.38789207,paper_oi_funding_crowding_watch,watch_short_crowded_long,high OI/volume with material funding,"label Antarctic  BTC_USDT forward returns, funding PnL, depth, fees, and margin constraints"
