timestamp,chain,token_symbol,current_tvl_usd,day_change_usd,week_change_usd,month_change_usd,day_change_pct,week_change_pct,month_change_pct,action,followup
2026-06-08T09:52:37.576082+00:00,ENI,ENI,319239375.00,828909.00,60097259.00,190551739.00,0.00260327,0.23190850,1.48073074,chain_inflow_momentum_watch,label ENI continuation against perp funding and liquidity
2026-06-08T09:52:37.576082+00:00,Provenance,HASH,1580174192.00,5603257.00,80284616.00,296897846.00,0.00355859,0.05352702,0.23135924,chain_inflow_momentum_watch,label HASH continuation against perp funding and liquidity
2026-06-08T09:52:37.576082+00:00,Mantle,MNT,155794339.00,-576368.00,-74661843.00,-61379618.00,-0.00368591,-0.32397414,-0.28262881,chain_outflow_stress_watch,label MNT downside or rotation-away behavior
2026-06-08T09:52:37.576082+00:00,X Layer,,72531461.00,-1313467.00,-19265380.00,-8262524.00,-0.01778683,-0.20986975,-0.10226657,chain_outflow_stress_watch,use as broad on-chain regime context
2026-06-08T09:52:37.576082+00:00,Stellar,XLM,200566018.00,-7245841.00,-39555244.00,10679631.00,-0.03486731,-0.16473029,0.05624221,chain_outflow_stress_watch,label XLM downside or rotation-away behavior
2026-06-08T09:52:37.576082+00:00,Polygon,POL,1038630020.00,-12604042.00,-118666442.00,-190376429.00,-0.01198976,-0.10253763,-0.15490271,chain_outflow_stress_watch,label POL downside or rotation-away behavior
2026-06-08T09:52:37.576082+00:00,Cardano,ADA,92607229.00,1203025.00,-36467503.00,-44815675.00,0.01316159,-0.28253015,-0.32611503,chain_flow_reversal_watch,separate ADA reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Katana,KAT,101959293.00,1948646.00,-40076668.00,-118627466.00,0.01948439,-0.28215860,-0.53778144,chain_flow_reversal_watch,separate KAT reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Ink,,203198591.00,7491541.00,-55107885.00,-114140732.00,0.03827936,-0.21334303,-0.35968039,chain_flow_reversal_watch,use as broad on-chain regime context
2026-06-08T09:52:37.576082+00:00,Avalanche,AVAX,478567869.00,4612339.00,-125714451.00,-176843660.00,0.00973159,-0.20803927,-0.26982080,chain_flow_reversal_watch,separate AVAX reversal from stale TVL accounting
