ticket_id,opened_at,rank,opportunity,probe_type,status,side,asset,venue,candidate_size_usd,observation_horizon,checkpoints,entry_mark,entry_source,decision,required_record,next_step
broad-paper-01-bera-promotion-frontier-cost-candidate-promoted-repeat-repeat-paper-22-bera-microstructure-flow,2026-06-08T20:07:09+00:00,1,promotion_frontier:cost_candidate:promoted_repeat:repeat-paper-22-bera-microstructure-flow,broad_alpha_paper_audit,first_repeat_paper_alpha,long,BERA,,100,"15m,1h,4h","15m,1h,4h",0.268210000000,hl_execution_context,paper_long,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
broad-paper-02-zec-promotion-frontier-cost-candidate-symbol-lane-paper-lane-zec-public-hypertracker-example-zec-wallet-flow-actionability,2026-06-08T20:07:09+00:00,2,promotion_frontier:cost_candidate:symbol_lane_paper:lane-zec-public-hypertracker-example-zec-wallet-flow-actionability,broad_alpha_paper_audit,paper_alpha_needs_repeat,long,ZEC,,100,"15m,1h,4h","15m,1h,4h",457.880000000000,hyperliquid_snapshot,paper_long,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
broad-paper-03-near-cost-survival-cross-section-near-paper-long,2026-06-08T20:07:52+00:00,3,cost_survival_cross_section:near_paper_long,broad_alpha_paper_audit,cost_surviving_cross_section_leader,long,NEAR,,100,"15m,1h,4h","15m,1h,4h",2.194100000000,hl_execution_context,paper_long,"still needs realized fill, stop, adverse-excursion, and independent timestamp evidence","paper-check NEAR paper_long with realized fill, stop, and adverse-excursion notes"
broad-paper-04-chip-cost-survival-cross-section-chip-paper-long,2026-06-08T20:07:52+00:00,4,cost_survival_cross_section:chip_paper_long,broad_alpha_paper_audit,cost_surviving_cross_section_leader,long,CHIP,,100,"15m,1h,4h","15m,1h,4h",0.033584000000,hl_execution_context,paper_long,"still needs realized fill, stop, adverse-excursion, and independent timestamp evidence","paper-check CHIP paper_long with realized fill, stop, and adverse-excursion notes"
broad-paper-05-sol-lane-repeat-sol-volume-price-dislocation,2026-06-08T20:07:52+00:00,5,lane_repeat:sol_volume_price_dislocation,broad_alpha_paper_audit,open_lane_repeat_probe,long,SOL,,100,"15m,1h,4h","15m,1h,4h",67.469000000000,hl_execution_context,paper_long,"lane-only entry, fill assumption, funding, spread/depth, stop, adverse excursion, 15m/1h mark",open one SOL long lane-repeat for sol_volume_price_dislocation with explicit fill and stop notes
broad-paper-06-hype-lane-repeat-hype-volume-price-dislocation,2026-06-08T20:07:52+00:00,6,lane_repeat:hype_volume_price_dislocation,broad_alpha_paper_audit,open_lane_repeat_probe,long,HYPE,,100,"15m,1h,4h","15m,1h,4h",63.504000000000,hl_execution_context,paper_long,"lane-only entry, fill assumption, funding, spread/depth, stop, adverse excursion, 15m/1h mark",open one HYPE long lane-repeat for hype_volume_price_dislocation with explicit fill and stop notes
broad-paper-07-eth-seed-wallet-flow-public-hypertracker-example-eth-wallet-flow-actionability,2026-06-08T20:07:52+00:00,7,seed_wallet_flow:public_hypertracker_example_eth_wallet_flow_actionability,broad_alpha_paper_audit,wallet_position_follow_candidate,long,ETH,,100,"15m,1h,4h","15m,1h,4h",1687.400000000000,hl_execution_context,paper_long,"wallet forward label, funding, spread/depth, copycat-risk, entity quality","paper-label ETH paper_long_wallet_flow over 15m/1h/4h with funding, spread/depth, and copycat-risk controls"
broad-paper-08-apt-seed-wallet-flow-public-hypertracker-example-apt-wallet-flow-actionability,2026-06-08T20:07:52+00:00,8,seed_wallet_flow:public_hypertracker_example_apt_wallet_flow_actionability,broad_alpha_paper_audit,wallet_position_follow_candidate,long,APT,,100,"15m,1h,4h","15m,1h,4h",0.682000000000,hl_execution_context,paper_long,"wallet forward label, funding, spread/depth, copycat-risk, entity quality","paper-label APT paper_long_wallet_flow over 15m/1h/4h with funding, spread/depth, and copycat-risk controls"
broad-paper-09-beat-liquidation-intensity-beat-long-liquidation-cascade-watch,2026-06-08T20:07:52+00:00,9,liquidation_intensity:BEAT:long_liquidation_cascade_watch,broad_alpha_paper_audit,small_paper_probe_pending_1h,long,BEAT,OKX,100.00,"15m,1h,4h","15m,1h,4h",4.3527,okx_ticker,paper_long,15m label survives rough gate but 1h is not mature,"wait for BEAT 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
broad-paper-10-allo-liquidation-intensity-allo-long-liquidation-cascade-watch,2026-06-08T20:07:52+00:00,10,liquidation_intensity:ALLO:long_liquidation_cascade_watch,broad_alpha_paper_audit,small_paper_probe_pending_1h,long,ALLO,OKX,100.00,"15m,1h,4h","15m,1h,4h",0.39705,okx_ticker,paper_long,15m label survives rough gate but 1h is not mature,"wait for ALLO 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
